batch_id,timestamp,day_number,humidity,temp_envi,temp_water,tds,ec,lux,ppfd,reflect_445,reflect_480,ph,growth_stage,yield_count
Batch_001,2025-04-13 00:00:00,1,82.09,23.14,22.19,627.11,0.98,801.41,194.62,0.37,0.2,6.2,Seed Sowing,0
Batch_001,2025-04-13 00:05:00,1,83.79,22.92,21.63,630.4,0.98,779.71,245.33,0.22,0.21,5.99,Seed Sowing,0
Batch_001,2025-04-13 00:10:00,1,82.46,23.5,21.35,627.3,0.98,735.51,190.14,0.3,0.17,5.89,Seed Sowing,0
Batch_001,2025-04-13 00:15:00,1,83.81,24.18,23.69,624.9,0.98,809.21,177.92,0.39,0.19,6.06,Seed Sowing,0
Batch_001,2025-04-13 00:20:00,1,80.49,23.52,23.12,622.07,0.97,986.93,208.39,0.38,0.33,6.14,Seed Sowing,0
Batch_001,2025-04-13 00:25:00,1,77.98,22.78,20.39,633.3,0.99,938.12,229.05,0.28,0.24,6.06,Seed Sowing,0
Batch_001,2025-04-13 00:30:00,1,81.55,24.59,22.56,637.45,1.0,993.26,154.27,0.37,0.21,5.85,Seed Sowing,0
Batch_001,2025-04-13 00:35:00,1,84.76,25.3,23.15,630.15,0.98,955.27,169.06,0.25,0.21,6.06,Seed Sowing,0
Batch_001,2025-04-13 00:40:00,1,88.38,25.04,19.93,634.43,0.99,670.81,245.96,0.37,0.2,6.0,Seed Sowing,0
Batch_001,2025-04-13 00:45:00,1,86.5,24.47,22.62,630.9,0.99,615.01,204.2,0.38,0.32,5.78,Seed Sowing,0
Batch_001,2025-04-13 00:50:00,1,85.65,24.24,21.66,631.84,0.99,677.2,257.59,0.32,0.2,5.98,Seed Sowing,0
Batch_001,2025-04-13 00:55:00,1,85.01,22.8,23.43,639.09,1.0,831.33,225.68,0.3,0.17,5.94,Seed Sowing,0
Batch_001,2025-04-13 01:00:00,1,81.11,22.07,20.72,641.07,1.0,800.65,218.65,0.38,0.21,6.23,Seed Sowing,0
Batch_001,2025-04-13 01:05:00,1,83.6,23.43,20.87,637.88,1.0,699.34,159.3,0.29,0.14,5.84,Seed Sowing,0
Batch_001,2025-04-13 01:10:00,1,84.77,23.38,23.32,635.94,0.99,984.98,249.43,0.26,0.23,5.94,Seed Sowing,0
Batch_001,2025-04-13 01:15:00,1,79.44,22.2,21.35,630.06,0.98,800.22,222.92,0.28,0.2,5.91,Seed Sowing,0
Batch_001,2025-04-13 01:20:00,1,82.86,22.46,19.96,628.11,0.98,1004.59,158.3,0.23,0.31,5.89,Seed Sowing,0
Batch_001,2025-04-13 01:25:00,1,79.11,23.83,22.04,635.4,0.99,815.54,244.8,0.29,0.32,5.98,Seed Sowing,0
Batch_001,2025-04-13 01:30:00,1,85.28,22.91,22.06,634.89,0.99,591.86,232.35,0.38,0.26,6.09,Seed Sowing,0
Batch_001,2025-04-13 01:35:00,1,85.13,22.93,20.71,634.64,0.99,585.46,249.44,0.32,0.31,5.89,Seed Sowing,0
Batch_001,2025-04-13 01:40:00,1,77.24,24.27,20.8,626.84,0.98,614.47,217.12,0.4,0.27,6.07,Seed Sowing,0
Batch_001,2025-04-13 01:45:00,1,82.22,24.09,23.46,636.73,0.99,718.98,244.71,0.4,0.33,6.11,Seed Sowing,0
Batch_001,2025-04-13 01:50:00,1,81.51,21.44,20.43,625.7,0.98,1023.81,177.84,0.26,0.26,5.94,Seed Sowing,0
Batch_001,2025-04-13 01:55:00,1,81.15,23.85,21.7,628.53,0.98,774.58,166.21,0.34,0.16,5.87,Seed Sowing,0
Batch_001,2025-04-13 02:00:00,1,84.85,23.49,22.65,628.78,0.98,634.18,218.33,0.39,0.17,6.17,Seed Sowing,0
Batch_001,2025-04-13 02:05:00,1,85.48,22.81,20.96,617.66,0.97,836.92,176.79,0.37,0.2,5.93,Seed Sowing,0
Batch_001,2025-04-13 02:10:00,1,83.19,25.56,20.76,628.83,0.98,911.31,181.97,0.4,0.16,6.07,Seed Sowing,0
Batch_001,2025-04-13 02:15:00,1,80.16,22.56,20.74,631.7,0.99,967.64,219.27,0.37,0.32,5.84,Seed Sowing,0
Batch_001,2025-04-13 02:20:00,1,84.21,23.79,22.87,631.62,0.99,609.81,190.28,0.27,0.29,6.2,Seed Sowing,0
Batch_001,2025-04-13 02:25:00,1,85.99,25.3,22.76,629.64,0.98,525.14,178.01,0.36,0.16,6.03,Seed Sowing,0
Batch_001,2025-04-13 02:30:00,1,84.77,24.93,20.88,631.11,0.99,760.89,246.36,0.37,0.25,6.13,Seed Sowing,0
Batch_001,2025-04-13 02:35:00,1,81.83,24.72,21.75,636.23,0.99,986.03,220.95,0.2,0.29,6.09,Seed Sowing,0
Batch_001,2025-04-13 02:40:00,1,80.9,23.8,20.38,629.1,0.98,831.65,228.6,0.23,0.21,6.06,Seed Sowing,0
Batch_001,2025-04-13 02:45:00,1,84.54,21.99,23.73,625.05,0.98,714.36,185.17,0.33,0.32,5.96,Seed Sowing,0
Batch_001,2025-04-13 02:50:00,1,80.18,25.84,23.64,625.92,0.98,659.83,204.83,0.35,0.21,5.9,Seed Sowing,0
