batch_id,timestamp,day_number,humidity,temp_envi,temp_water,tds,lux,ppfd,reflect_445,reflect_480,ph,growth_stage,yield_prediction
Batch_001,2025-04-13 00:00:00,1,80.68,23.3,20.49,631.56,390.88,166.27,0.59,0.85,5.72,Seed Sowing,
Batch_001,2025-04-13 00:05:00,1,84.77,22.37,20.63,635.79,448.84,183.31,0.87,0.88,7.24,Seed Sowing,
Batch_001,2025-04-13 00:10:00,1,83.47,22.98,20.99,626.15,611.93,144.73,0.39,0.38,6.4,Seed Sowing,
Batch_001,2025-04-13 00:15:00,1,82.99,22.62,21.71,607.01,504.0,137.3,0.66,0.75,7.01,Seed Sowing,
Batch_001,2025-04-13 00:20:00,1,83.77,24.81,23.36,636.41,444.19,155.27,0.35,0.3,6.77,Seed Sowing,
Batch_001,2025-04-13 00:25:00,1,79.05,23.6,20.27,627.65,425.2,191.64,0.14,0.14,6.82,Seed Sowing,
Batch_001,2025-04-13 00:30:00,1,81.97,22.53,23.32,642.42,535.13,113.23,0.49,0.16,5.81,Seed Sowing,
Batch_001,2025-04-13 00:35:00,1,82.04,25.63,22.09,640.31,432.2,150.65,0.25,0.59,6.81,Seed Sowing,
Batch_001,2025-04-13 00:40:00,1,81.8,22.64,22.46,639.53,477.91,165.11,0.36,0.65,7.09,Seed Sowing,
Batch_001,2025-04-13 00:45:00,1,81.47,23.75,20.5,636.64,558.95,163.67,0.18,0.81,6.41,Seed Sowing,
Batch_001,2025-04-13 00:50:00,1,85.46,24.74,20.43,629.4,538.71,133.53,0.52,0.6,5.58,Seed Sowing,
Batch_001,2025-04-13 00:55:00,1,83.82,23.09,21.0,633.59,563.7,166.02,0.5,0.86,6.49,Seed Sowing,
Batch_001,2025-04-13 01:00:00,1,85.17,23.08,22.05,617.25,562.05,149.57,0.9,0.73,6.52,Seed Sowing,
Batch_001,2025-04-13 01:05:00,1,83.49,23.46,21.65,627.23,508.29,125.35,0.11,0.39,6.75,Seed Sowing,
Batch_001,2025-04-13 01:10:00,1,83.5,22.05,20.21,649.56,422.63,129.83,0.2,0.43,5.72,Seed Sowing,
Batch_001,2025-04-13 01:15:00,1,82.36,22.8,23.01,639.35,536.35,114.64,0.86,0.71,6.87,Seed Sowing,
Batch_001,2025-04-13 01:20:00,1,83.87,25.79,23.77,627.45,507.55,147.92,0.61,0.32,5.9,Seed Sowing,
Batch_001,2025-04-13 01:25:00,1,81.08,26.37,21.25,633.37,471.56,170.02,0.52,0.44,6.77,Seed Sowing,
Batch_001,2025-04-13 01:30:00,1,83.47,23.63,23.92,644.59,375.93,149.75,0.24,0.74,6.9,Seed Sowing,
Batch_001,2025-04-13 01:35:00,1,85.62,23.2,22.51,637.02,502.94,192.84,0.86,0.62,6.51,Seed Sowing,
Batch_001,2025-04-13 01:40:00,1,86.19,24.99,22.14,628.3,600.11,129.16,0.22,0.92,7.22,Seed Sowing,
Batch_001,2025-04-13 01:45:00,1,84.5,25.48,24.03,626.34,562.03,128.81,0.7,0.8,5.44,Seed Sowing,
Batch_001,2025-04-13 01:50:00,1,82.76,25.15,20.77,627.79,585.14,161.7,0.69,0.78,6.83,Seed Sowing,
Batch_001,2025-04-13 01:55:00,1,78.86,23.6,22.61,634.41,524.57,124.31,0.79,0.43,7.1,Seed Sowing,
Batch_001,2025-04-13 02:00:00,1,80.21,22.3,23.24,641.43,620.16,163.32,0.73,0.46,5.88,Seed Sowing,
Batch_001,2025-04-13 02:05:00,1,79.35,24.92,21.6,636.97,592.84,132.9,0.73,0.3,6.13,Seed Sowing,
Batch_001,2025-04-13 02:10:00,1,81.4,25.52,20.67,618.49,597.41,145.8,0.16,0.21,5.83,Seed Sowing,
Batch_001,2025-04-13 02:15:00,1,84.46,25.17,20.55,617.28,597.28,153.43,0.73,0.49,6.63,Seed Sowing,
Batch_001,2025-04-13 02:20:00,1,80.1,22.67,20.25,624.75,464.02,173.47,0.23,0.67,6.29,Seed Sowing,
Batch_001,2025-04-13 02:25:00,1,80.95,22.69,23.41,622.96,489.44,131.35,0.89,0.4,6.7,Seed Sowing,
Batch_001,2025-04-13 02:30:00,1,81.78,25.72,20.37,631.61,597.07,149.42,0.46,0.3,6.08,Seed Sowing,
Batch_001,2025-04-13 02:35:00,1,82.79,24.83,21.29,625.63,392.32,161.74,0.62,0.15,6.47,Seed Sowing,
Batch_001,2025-04-13 02:40:00,1,77.95,25.69,21.58,621.02,512.48,146.15,0.79,0.77,5.67,Seed Sowing,
Batch_001,2025-04-13 02:45:00,1,81.01,27.26,21.16,639.54,369.34,187.76,0.2,0.24,7.19,Seed Sowing,
Batch_001,2025-04-13 02:50:00,1,84.65,23.06,21.86,635.43,534.82,142.88,0.21,0.23,6.02,Seed Sowing,
Batch_001,2025-04-13 02:55:00,1,78.79,23.11,22.11,630.36,483.88,178.81,0.75,0.57,7.24,Seed Sowing,
Batch_001,2025-04-13 03:00:00,1,81.59,23.74,21.75,630.06,549.24,160.24,0.08,0.82,6.47,Seed Sowing,
Batch_001,2025-04-13 03:05:00,1,80.36,23.03,21.51,639.24,530.62,162.69,0.4,0.21,6.11,Seed Sowing,
Batch_001,2025-04-13 03:10:00,1,79.63,22.16,21.29,622.85,438.43,178.37,0.69,0.37,6.9,Seed Sowing,
Batch_001,2025-04-13 03:15:00,1,83.23,25.0,20.02,620.66,573.33,139.9,0.08,0.63,6.65,Seed Sowing,
Batch_001,2025-04-13 03:20:00,1,83.53,26.01,20.59,627.7,539.96,177.88,0.74,0.77,6.84,Seed Sowing,
Batch_001,2025-04-13 03:25:00,1,88.22,24.82,23.07,622.23,533.12,165.81,0.42,0.5,5.52,Seed Sowing,
Batch_001,2025-04-13 03:30:00,1,83.21,24.66,21.02,635.52,547.23,149.99,0.22,0.26,6.36,Seed Sowing,
Batch_001,2025-04-13 03:35:00,1,78.22,22.7,22.61,617.46,421.12,185.52,0.61,0.13,5.92,Seed Sowing,
Batch_001,2025-04-13 03:40:00,1,81.6,22.38,21.3,631.33,478.82,129.12,0.63,0.64,7.52,Seed Sowing,
Batch_001,2025-04-13 03:45:00,1,82.34,22.01,21.95,622.62,423.67,159.49,0.2,0.87,6.53,Seed Sowing,
Batch_001,2025-04-13 03:50:00,1,77.48,25.34,22.7,640.02,570.24,191.39,0.65,0.74,6.56,Seed Sowing,
Batch_001,2025-04-13 03:55:00,1,82.36,25.72,20.24,635.99,564.47,138.68,0.16,0.68,6.06,Seed Sowing,
Batch_001,2025-04-13 04:00:00,1,58.98,24.64,23.66,623.93,580.98,168.3,0.69,0.46,6.01,Seed Sowing,
Batch_001,2025-04-13 04:05:00,1,61.07,23.85,21.56,630.98,567.09,114.74,0.45,0.15,6.83,Seed Sowing,
Batch_001,2025-04-13 04:10:00,1,61.35,23.72,20.35,638.02,438.13,165.32,0.55,0.9,7.03,Seed Sowing,
Batch_001,2025-04-13 04:15:00,1,57.15,25.9,23.97,639.03,574.12,145.25,0.46,0.7,5.78,Seed Sowing,
