batch_id,timestamp,day_number,humidity,temp_envi,temp_water,tds,lux,ppfd,reflect_445,reflect_480,ph,growth_stage,yield_prediction
Batch_001,2025-04-13 00:00:00,1,86.28,23.45,23.07,622.66,336.68,146.39,0.43,0.18,5.99,Seed Sowing,
Batch_001,2025-04-13 00:05:00,1,80.35,22.82,20.27,634.53,413.19,102.22,0.21,0.87,7.48,Seed Sowing,
Batch_001,2025-04-13 00:10:00,1,80.15,23.01,21.99,634.97,609.67,149.96,0.72,0.63,5.95,Seed Sowing,
Batch_001,2025-04-13 00:15:00,1,81.43,24.37,23.24,627.0,538.28,172.0,0.39,0.47,6.98,Seed Sowing,
Batch_001,2025-04-13 00:20:00,1,81.34,24.18,20.07,625.2,451.79,119.72,0.51,0.4,5.96,Seed Sowing,
Batch_001,2025-04-13 00:25:00,1,82.78,25.95,21.35,629.95,486.54,111.18,0.38,0.3,7.06,Seed Sowing,
Batch_001,2025-04-13 00:30:00,1,84.92,26.2,23.58,624.83,744.4,253.08,0.38,0.51,6.83,Seed Sowing,
Batch_001,2025-04-13 00:35:00,1,82.36,22.77,19.88,614.18,360.02,158.11,0.32,0.54,6.22,Seed Sowing,
Batch_001,2025-04-13 00:40:00,1,83.72,22.14,21.74,651.62,617.0,121.69,0.22,0.29,7.22,Seed Sowing,
Batch_001,2025-04-13 00:45:00,1,80.66,24.5,19.96,629.54,763.69,117.32,0.36,0.22,7.21,Seed Sowing,
Batch_001,2025-04-13 00:50:00,1,85.94,23.79,23.77,640.7,766.97,145.9,0.25,0.14,5.48,Seed Sowing,
Batch_001,2025-04-13 00:55:00,1,75.72,25.29,22.57,638.13,465.72,130.81,0.76,0.82,6.75,Seed Sowing,
Batch_001,2025-04-13 01:00:00,1,89.26,24.91,21.73,625.59,545.94,246.22,0.34,0.56,5.65,Seed Sowing,
Batch_001,2025-04-13 01:05:00,1,79.33,24.56,21.32,626.78,713.98,198.3,0.45,0.39,5.71,Seed Sowing,
Batch_001,2025-04-13 01:10:00,1,79.26,25.3,22.81,630.27,339.21,170.58,0.84,0.48,5.82,Seed Sowing,
Batch_001,2025-04-13 01:15:00,1,85.22,24.24,19.84,637.97,758.57,110.14,0.86,0.18,5.34,Seed Sowing,
Batch_001,2025-04-13 01:20:00,1,84.28,22.42,20.16,615.96,268.23,193.3,0.85,0.61,7.44,Seed Sowing,
Batch_001,2025-04-13 01:25:00,1,78.39,25.61,21.94,632.67,557.09,194.76,0.61,0.17,7.14,Seed Sowing,
Batch_001,2025-04-13 01:30:00,1,81.06,24.79,23.0,634.68,398.36,184.14,0.33,0.52,7.28,Seed Sowing,
Batch_001,2025-04-13 01:35:00,1,80.17,24.56,22.49,634.66,699.67,177.43,0.82,0.59,6.95,Seed Sowing,
Batch_001,2025-04-13 01:40:00,1,81.76,24.21,19.78,645.75,783.08,217.83,0.29,0.46,6.01,Seed Sowing,
Batch_001,2025-04-13 01:45:00,1,82.66,25.6,21.93,640.7,413.34,99.88,0.77,0.45,6.61,Seed Sowing,
Batch_001,2025-04-13 01:50:00,1,83.33,24.53,23.47,623.73,647.67,140.4,0.62,0.51,6.98,Seed Sowing,
Batch_001,2025-04-13 01:55:00,1,85.2,24.94,22.73,623.43,485.84,137.25,0.09,0.73,6.51,Seed Sowing,
Batch_001,2025-04-13 02:00:00,1,81.94,24.64,20.36,635.87,728.7,115.52,0.87,0.58,7.02,Seed Sowing,
Batch_001,2025-04-13 02:05:00,1,85.69,24.77,22.81,621.82,350.98,116.72,0.09,0.9,6.84,Seed Sowing,
Batch_001,2025-04-13 02:10:00,1,84.13,25.2,21.57,619.25,560.38,110.95,0.43,0.48,6.45,Seed Sowing,
Batch_001,2025-04-13 02:15:00,1,84.85,24.59,21.8,632.1,605.67,216.15,0.31,0.11,6.69,Seed Sowing,
Batch_001,2025-04-13 02:20:00,1,85.14,24.96,21.72,626.47,301.89,240.38,0.63,0.67,6.8,Seed Sowing,
Batch_001,2025-04-13 02:25:00,1,80.46,26.8,19.64,621.9,701.85,159.64,0.53,0.13,6.21,Seed Sowing,
Batch_001,2025-04-13 02:30:00,1,78.73,23.33,20.81,629.69,317.46,164.9,0.21,0.46,6.52,Seed Sowing,
Batch_001,2025-04-13 02:35:00,1,80.78,25.24,21.32,626.35,411.29,105.97,0.3,0.63,6.76,Seed Sowing,
Batch_001,2025-04-13 02:40:00,1,80.63,21.94,21.87,629.45,673.25,228.23,0.63,0.3,6.41,Seed Sowing,
Batch_001,2025-04-13 02:45:00,1,83.23,23.36,20.81,629.39,726.64,171.95,0.28,0.82,7.21,Seed Sowing,
Batch_001,2025-04-13 02:50:00,1,82.33,25.41,23.29,633.45,741.99,233.19,0.55,0.18,5.53,Seed Sowing,
Batch_001,2025-04-13 02:55:00,1,80.14,22.69,21.11,622.24,651.62,223.31,0.78,0.43,5.68,Seed Sowing,
Batch_001,2025-04-13 03:00:00,1,84.82,25.85,23.39,631.58,609.34,143.02,0.21,0.9,5.55,Seed Sowing,
Batch_001,2025-04-13 03:05:00,1,81.75,22.28,23.11,636.3,354.62,209.54,0.6,0.48,6.93,Seed Sowing,
Batch_001,2025-04-13 03:10:00,1,86.28,25.01,20.82,628.79,841.96,121.27,0.53,0.52,6.07,Seed Sowing,
Batch_001,2025-04-13 03:15:00,1,81.8,22.76,22.54,627.4,716.05,158.68,0.21,0.25,6.04,Seed Sowing,
Batch_001,2025-04-13 03:20:00,1,78.99,24.2,20.47,629.35,491.98,226.57,0.48,0.66,6.38,Seed Sowing,
Batch_001,2025-04-13 03:25:00,1,85.81,23.84,22.55,627.18,545.78,110.53,0.5,0.41,5.98,Seed Sowing,
Batch_001,2025-04-13 03:30:00,1,83.61,24.81,21.14,634.12,486.65,167.16,0.13,0.8,7.61,Seed Sowing,
Batch_001,2025-04-13 03:35:00,1,83.64,23.4,23.65,614.85,655.08,156.08,0.84,0.8,6.29,Seed Sowing,
Batch_001,2025-04-13 03:40:00,1,82.45,21.94,20.91,635.96,498.46,254.63,0.53,0.76,6.74,Seed Sowing,
Batch_001,2025-04-13 03:45:00,1,81.62,22.55,19.98,631.9,432.97,223.27,0.24,0.5,7.39,Seed Sowing,
Batch_001,2025-04-13 03:50:00,1,80.97,24.78,20.56,632.88,667.88,127.86,0.17,0.6,6.41,Seed Sowing,
Batch_001,2025-04-13 03:55:00,1,81.97,22.95,21.84,633.28,395.62,221.72,0.91,0.47,6.3,Seed Sowing,
Batch_001,2025-04-13 04:00:00,1,58.99,23.27,22.25,620.47,794.04,227.21,0.66,0.48,6.03,Seed Sowing,
Batch_001,2025-04-13 04:05:00,1,53.92,25.78,23.97,630.06,313.54,186.92,0.83,0.46,6.19,Seed Sowing,
Batch_001,2025-04-13 04:10:00,1,57.91,24.4,21.39,618.03,421.84,241.1,0.2,0.07,6.25,Seed Sowing,
Batch_001,2025-04-13 04:15:00,1,60.13,22.73,23.58,638.12,430.21,207.98,0.26,0.48,7.86,Seed Sowing,
Batch_001,2025-04-13 04:20:00,1,53.65,24.91,23.03,630.88,713.9,130.64,0.38,0.24,5.86,Seed Sowing,
Batch_001,2025-04-13 04:25:00,1,56.87,23.87,21.73,642.22,712.42,195.69,0.65,0.33,7.31,Seed Sowing,
Batch_001,2025-04-13 04:30:00,1,54.4,22.13,22.37,624.86,393.92,152.82,0.58,0.87,6.63,Seed Sowing,
Batch_001,2025-04-13 04:35:00,1,55.06,23.39,23.56,624.88,728.45,166.38,0.66,0.77,7.09,Seed Sowing,
Batch_001,2025-04-13 04:40:00,1,58.61,25.04,22.99,639.54,661.78,169.17,0.63,0.7,5.97,Seed Sowing,
Batch_001,2025-04-13 04:45:00,1,60.48,24.28,20.36,626.57,590.12,159.71,0.23,0.38,7.56,Seed Sowing,
Batch_001,2025-04-13 04:50:00,1,57.71,23.93,20.73,612.24,357.52,149.39,0.21,0.37,5.75,Seed Sowing,
