batch_id,timestamp,day_number,humidity,temp_envi,temp_water,tds,lux,ppfd,reflect_445,reflect_480,ph,growth_stage,yield_prediction
Batch_001,2025-04-13 00:00:00,1,81.19,21.48,21.38,576.8,588.53,132.6,0.44,0.73,5.77,Seed Sowing,260.99
Batch_001,2025-04-13 00:05:00,1,83.34,23.95,23.42,700.75,587.11,230.19,0.64,0.43,6.81,Seed Sowing,282.11
Batch_001,2025-04-13 00:10:00,1,81.84,25.2,21.71,623.44,716.82,191.94,0.36,0.55,6.22,Seed Sowing,280.71
Batch_001,2025-04-13 00:15:00,1,84.43,25.95,21.67,558.11,752.8,178.99,0.19,0.59,6.65,Seed Sowing,283.08
Batch_001,2025-04-13 00:20:00,1,85.96,22.41,20.6,722.7,577.85,61.6,0.13,0.34,5.58,Seed Sowing,265.35
Batch_001,2025-04-13 00:25:00,1,85.77,24.86,20.83,596.99,461.64,106.21,0.48,0.29,7.59,Seed Sowing,275.74
Batch_001,2025-04-13 00:30:00,1,80.86,25.08,22.75,699.98,694.48,138.85,0.56,0.18,6.94,Seed Sowing,270.47
Batch_001,2025-04-13 00:35:00,1,82.44,25.58,23.94,685.23,373.97,237.46,0.32,0.7,5.58,Seed Sowing,282.27
Batch_001,2025-04-13 00:40:00,1,78.69,22.31,23.47,591.13,835.95,128.28,0.53,0.43,5.9,Seed Sowing,277.76
Batch_001,2025-04-13 00:45:00,1,82.86,25.61,22.73,580.62,520.22,129.04,0.5,0.88,6.45,Seed Sowing,270.24
Batch_001,2025-04-13 00:50:00,1,80.04,26.22,22.67,615.16,405.77,88.35,0.15,0.29,6.08,Seed Sowing,265.72
Batch_001,2025-04-13 00:55:00,1,82.3,21.97,24.45,661.43,451.49,110.11,0.83,0.66,6.02,Seed Sowing,273.52
Batch_001,2025-04-13 01:00:00,1,81.47,25.63,21.99,564.92,635.33,259.78,0.38,0.6,6.18,Seed Sowing,292.76
Batch_001,2025-04-13 01:05:00,1,82.25,23.18,20.6,665.5,683.87,151.48,0.53,0.25,6.38,Seed Sowing,274.9
Batch_001,2025-04-13 01:10:00,1,80.89,24.78,22.59,664.85,688.24,97.02,0.1,0.47,5.59,Seed Sowing,264.38
Batch_001,2025-04-13 01:15:00,1,86.38,23.68,19.8,581.42,822.89,139.54,0.41,0.89,6.97,Seed Sowing,273.45
Batch_001,2025-04-13 01:20:00,1,79.98,21.94,21.1,614.69,540.11,91.21,0.89,0.37,7.09,Seed Sowing,269.03
Batch_001,2025-04-13 01:25:00,1,79.25,24.25,23.64,708.81,271.72,133.29,0.26,0.24,5.97,Seed Sowing,267.78
Batch_001,2025-04-13 01:30:00,1,80.21,22.71,21.07,660.92,738.41,209.32,0.39,0.8,7.54,Seed Sowing,285.52
Batch_001,2025-04-13 01:35:00,1,79.96,25.38,23.23,704.13,621.51,208.85,0.41,0.7,6.05,Seed Sowing,271.86
Batch_001,2025-04-13 01:40:00,1,78.56,22.79,22.16,626.43,640.42,256.96,0.66,0.43,6.39,Seed Sowing,290.13
