batch_id,timestamp,day_number,humidity,temp_envi,temp_water,tds,lux,ppfd,reflect_445,reflect_480,ph,growth_stage,yield_prediction
Batch_001,2025-04-13 00:00:00,1,86.83,23.16,23.27,632.96,601.28,141.34,0.49,0.72,7.03,Seed Sowing,
Batch_001,2025-04-13 00:05:00,1,83.87,24.45,21.3,611.17,460.51,132.67,0.46,0.25,6.78,Seed Sowing,
Batch_001,2025-04-13 00:10:00,1,84.43,23.84,19.63,634.97,523.78,164.65,0.78,0.76,5.86,Seed Sowing,
Batch_001,2025-04-13 00:15:00,1,79.89,24.72,21.13,631.85,574.55,159.54,0.49,0.59,5.65,Seed Sowing,
Batch_001,2025-04-13 00:20:00,1,76.99,24.03,23.0,651.85,392.91,118.29,0.71,0.25,5.73,Seed Sowing,
Batch_001,2025-04-13 00:25:00,1,83.0,22.51,20.02,629.18,525.1,147.78,0.59,0.68,6.97,Seed Sowing,
Batch_001,2025-04-13 00:30:00,1,83.79,24.69,22.19,642.35,444.61,127.4,0.34,0.28,7.22,Seed Sowing,
Batch_001,2025-04-13 00:35:00,1,80.97,25.51,20.57,627.46,545.57,150.91,0.62,0.68,5.78,Seed Sowing,
Batch_001,2025-04-13 00:40:00,1,83.32,22.62,21.49,637.36,501.07,189.22,0.46,0.57,6.59,Seed Sowing,
Batch_001,2025-04-13 00:45:00,1,79.18,25.56,21.23,625.36,463.67,135.99,0.25,0.81,6.41,Seed Sowing,
Batch_001,2025-04-13 00:50:00,1,84.62,23.82,22.32,634.79,595.52,136.27,0.31,0.69,6.4,Seed Sowing,
Batch_001,2025-04-13 00:55:00,1,74.1,23.32,22.03,616.14,435.91,129.57,0.51,0.86,7.18,Seed Sowing,
Batch_001,2025-04-13 01:00:00,1,82.61,22.98,20.89,627.47,501.3,146.22,0.78,0.2,7.39,Seed Sowing,
Batch_001,2025-04-13 01:05:00,1,86.39,25.4,21.5,626.74,458.71,164.05,0.67,0.61,7.36,Seed Sowing,
Batch_001,2025-04-13 01:10:00,1,83.12,22.39,23.06,629.66,518.91,167.92,0.42,0.77,6.93,Seed Sowing,
Batch_001,2025-04-13 01:15:00,1,82.24,23.33,20.99,637.44,609.0,150.12,0.79,0.14,5.76,Seed Sowing,
Batch_001,2025-04-13 01:20:00,1,84.26,22.78,22.66,630.13,483.48,166.6,0.73,0.8,5.99,Seed Sowing,
Batch_001,2025-04-13 01:25:00,1,82.97,24.02,20.14,629.66,593.2,148.9,0.66,0.48,6.13,Seed Sowing,
Batch_001,2025-04-13 01:30:00,1,83.02,25.08,20.69,636.68,489.69,178.28,0.66,0.41,6.17,Seed Sowing,
Batch_001,2025-04-13 01:35:00,1,83.77,24.16,23.42,627.73,475.55,161.42,0.24,0.49,6.88,Seed Sowing,
Batch_001,2025-04-13 01:40:00,1,78.97,23.16,20.93,621.13,444.35,144.01,0.64,0.62,5.85,Seed Sowing,
Batch_001,2025-04-13 01:45:00,1,85.36,24.85,22.28,635.87,516.25,173.53,0.19,0.51,7.19,Seed Sowing,
Batch_001,2025-04-13 01:50:00,1,79.85,25.85,19.98,641.24,464.96,165.27,0.17,0.22,5.88,Seed Sowing,
Batch_001,2025-04-13 01:55:00,1,79.35,21.73,20.95,618.66,468.11,153.2,0.22,0.46,6.96,Seed Sowing,
Batch_001,2025-04-13 02:00:00,1,78.93,24.47,22.14,628.49,525.88,143.01,0.57,0.37,6.84,Seed Sowing,
Batch_001,2025-04-13 02:05:00,1,84.28,22.44,21.57,632.76,534.14,172.22,0.34,0.78,6.1,Seed Sowing,
Batch_001,2025-04-13 02:10:00,1,84.82,25.46,21.32,620.5,526.24,146.75,0.43,0.62,6.13,Seed Sowing,
Batch_001,2025-04-13 02:15:00,1,80.32,23.72,22.48,636.11,459.16,157.6,0.42,0.34,7.14,Seed Sowing,
Batch_001,2025-04-13 02:20:00,1,82.46,22.19,23.67,630.07,616.91,166.62,0.2,0.41,5.95,Seed Sowing,
Batch_001,2025-04-13 02:25:00,1,84.88,23.14,23.25,610.58,575.0,167.91,0.5,0.54,5.87,Seed Sowing,
