batch_id,timestamp,day_number,humidity,temp_envi,temp_water,tds,lux,ppfd,reflect_445,reflect_480,ph,growth_stage,yield_count
Batch_001,2025-04-13 00:00:00,1,83.03,24.37,19.88,652.69,876.3,178.72,0.84,0.37,5.5,Seed Sowing,0
Batch_001,2025-04-13 00:05:00,1,82.26,22.6,22.07,595.87,699.71,196.26,0.8,0.38,6.85,Seed Sowing,0
Batch_001,2025-04-13 00:10:00,1,85.02,23.17,20.8,554.31,758.72,183.24,0.12,0.59,6.64,Seed Sowing,0
Batch_001,2025-04-13 00:15:00,1,81.53,25.68,22.51,570.44,876.14,163.86,0.25,0.32,6.44,Seed Sowing,0
Batch_001,2025-04-13 00:20:00,1,78.32,22.6,20.79,651.23,942.67,227.23,0.77,0.17,6.34,Seed Sowing,0
Batch_001,2025-04-13 00:25:00,1,80.89,23.14,21.81,580.33,582.57,156.8,0.3,0.72,5.53,Seed Sowing,0
Batch_001,2025-04-13 00:30:00,1,85.95,22.14,21.96,657.59,899.39,172.38,0.42,0.1,6.87,Seed Sowing,0
Batch_001,2025-04-13 00:35:00,1,86.58,22.73,22.11,701.24,661.21,176.18,0.27,0.5,6.99,Seed Sowing,0
Batch_001,2025-04-13 00:40:00,1,84.25,23.2,21.86,566.93,664.58,215.99,0.75,0.59,6.37,Seed Sowing,0
Batch_001,2025-04-13 00:45:00,1,80.27,24.72,20.4,567.42,750.66,210.61,0.28,0.46,5.91,Seed Sowing,0
Batch_001,2025-04-13 00:50:00,1,80.67,25.59,20.21,583.37,973.5,215.58,0.22,0.27,6.55,Seed Sowing,0
Batch_001,2025-04-13 00:55:00,1,86.12,22.83,22.75,555.14,824.63,201.18,0.78,0.75,5.67,Seed Sowing,0
Batch_001,2025-04-13 01:00:00,1,85.85,21.97,21.87,689.96,668.8,224.02,0.77,0.13,6.03,Seed Sowing,0
Batch_001,2025-04-13 01:05:00,1,81.29,23.46,23.59,590.17,768.45,203.25,0.26,0.23,5.94,Seed Sowing,0
Batch_001,2025-04-13 01:10:00,1,78.85,21.88,22.26,712.87,605.67,162.19,0.65,0.37,5.69,Seed Sowing,0
Batch_001,2025-04-13 01:15:00,1,84.07,25.64,21.83,583.69,990.71,162.63,0.45,0.67,6.23,Seed Sowing,0
Batch_001,2025-04-13 01:20:00,1,82.14,23.0,23.38,596.45,489.54,246.59,0.36,0.31,5.82,Seed Sowing,0
Batch_001,2025-04-13 01:25:00,1,81.41,23.19,20.98,621.26,937.13,236.67,0.15,0.78,6.63,Seed Sowing,0
Batch_001,2025-04-13 01:30:00,1,84.66,25.7,21.78,561.88,539.82,218.63,0.27,0.68,5.91,Seed Sowing,0
Batch_001,2025-04-13 01:35:00,1,83.83,21.92,22.07,593.82,653.25,206.15,0.44,0.28,6.11,Seed Sowing,0
Batch_001,2025-04-13 01:40:00,1,83.6,24.7,23.03,639.14,853.27,217.28,0.86,0.43,6.44,Seed Sowing,0
Batch_001,2025-04-13 01:45:00,1,82.0,23.2,22.2,555.05,793.91,194.23,0.23,0.17,5.46,Seed Sowing,0
Batch_001,2025-04-13 01:50:00,1,81.28,22.47,22.58,678.8,828.63,176.79,0.78,0.25,6.68,Seed Sowing,0
Batch_001,2025-04-13 01:55:00,1,82.72,24.35,23.27,616.21,576.51,213.63,0.9,0.69,6.91,Seed Sowing,0
Batch_001,2025-04-13 02:00:00,1,82.26,24.83,20.46,586.85,896.13,157.24,0.37,0.78,6.29,Seed Sowing,0
Batch_001,2025-04-13 02:05:00,1,81.19,24.46,20.28,550.99,704.25,208.5,0.82,0.59,6.14,Seed Sowing,0
Batch_001,2025-04-13 02:10:00,1,84.39,24.26,20.37,604.08,862.31,197.08,0.35,0.49,6.42,Seed Sowing,0
Batch_001,2025-04-13 02:15:00,1,81.26,23.65,22.32,691.41,849.98,217.8,0.12,0.44,5.8,Seed Sowing,0
Batch_001,2025-04-13 02:20:00,1,80.2,24.32,20.01,657.18,944.91,229.31,0.81,0.58,6.81,Seed Sowing,0
Batch_001,2025-04-13 02:25:00,1,83.53,24.66,21.31,647.35,938.74,248.03,0.43,0.18,5.68,Seed Sowing,0
Batch_001,2025-04-13 02:30:00,1,82.19,22.19,23.48,589.39,829.53,213.79,0.35,0.3,6.0,Seed Sowing,0
Batch_001,2025-04-13 02:35:00,1,81.6,23.32,20.88,577.61,490.75,197.8,0.9,0.31,5.53,Seed Sowing,0
Batch_001,2025-04-13 02:40:00,1,86.59,25.62,21.1,649.44,818.13,239.9,0.26,0.14,6.93,Seed Sowing,0
Batch_001,2025-04-13 02:45:00,1,81.29,23.43,23.03,559.97,530.18,235.13,0.49,0.23,6.05,Seed Sowing,0
Batch_001,2025-04-13 02:50:00,1,81.71,22.31,23.59,650.47,911.46,182.45,0.62,0.15,6.69,Seed Sowing,0
Batch_001,2025-04-13 02:55:00,1,79.92,22.22,20.61,579.68,557.88,208.43,0.48,0.39,5.83,Seed Sowing,0
Batch_001,2025-04-13 03:00:00,1,82.19,24.79,21.92,629.09,724.27,251.82,0.56,0.32,6.39,Seed Sowing,0
Batch_001,2025-04-13 03:05:00,1,79.98,22.84,21.73,562.92,484.14,160.37,0.18,0.46,5.75,Seed Sowing,0
Batch_001,2025-04-13 03:10:00,1,84.44,24.16,22.26,580.61,500.47,162.14,0.61,0.89,6.01,Seed Sowing,0
Batch_001,2025-04-13 03:15:00,1,82.46,22.83,21.88,663.03,833.46,187.25,0.48,0.52,6.14,Seed Sowing,0
Batch_001,2025-04-13 03:20:00,1,83.17,23.0,24.21,667.16,756.76,196.94,0.46,0.48,6.89,Seed Sowing,0
Batch_001,2025-04-13 03:25:00,1,82.14,22.29,20.26,696.95,529.52,209.28,0.22,0.39,6.84,Seed Sowing,0
Batch_001,2025-04-13 03:30:00,1,80.13,25.17,23.24,674.57,742.79,214.35,0.66,0.84,6.43,Seed Sowing,0
Batch_001,2025-04-13 03:35:00,1,79.48,21.75,18.68,648.85,940.81,202.4,0.56,0.36,5.77,Seed Sowing,0
Batch_001,2025-04-13 03:40:00,1,83.06,23.59,21.88,708.49,812.55,193.99,0.87,0.66,6.82,Seed Sowing,0
Batch_001,2025-04-13 03:45:00,1,85.96,23.12,21.71,696.96,936.03,202.7,0.44,0.59,5.94,Seed Sowing,0
Batch_001,2025-04-13 03:50:00,1,85.81,21.88,23.37,621.97,538.16,209.84,0.55,0.78,6.53,Seed Sowing,0
Batch_001,2025-04-13 03:55:00,1,85.93,22.93,22.64,627.74,937.57,210.3,0.56,0.81,5.88,Seed Sowing,0
Batch_001,2025-04-13 04:00:00,1,63.82,24.21,22.62,624.87,598.63,191.46,0.86,0.14,6.0,Seed Sowing,0
Batch_001,2025-04-13 04:05:00,1,61.85,22.16,23.55,703.95,511.1,164.95,0.41,0.53,5.75,Seed Sowing,0
Batch_001,2025-04-13 04:10:00,1,51.66,22.6,23.62,624.04,596.33,257.12,0.73,0.38,7.0,Seed Sowing,0
Batch_001,2025-04-13 04:15:00,1,59.42,22.73,22.22,693.84,697.22,226.59,0.77,0.88,6.7,Seed Sowing,0
Batch_001,2025-04-13 04:20:00,1,57.51,22.15,23.62,599.28,683.42,207.72,0.72,0.18,6.28,Seed Sowing,0
Batch_001,2025-04-13 04:25:00,1,59.13,25.37,20.69,674.44,857.02,236.13,0.57,0.52,5.86,Seed Sowing,0
Batch_001,2025-04-13 04:30:00,1,58.51,24.95,21.24,544.93,967.06,195.14,0.27,0.85,6.21,Seed Sowing,0
Batch_001,2025-04-13 04:35:00,1,59.81,23.48,20.75,621.9,799.13,199.75,0.54,0.49,6.95,Seed Sowing,0
