timestamp,humidity,temp_envi,temp_water,tds,lux,ppfd,reflect_445,reflect_480,ph,growth_stage
2025-04-13 00:00:00,83.83,25.13,21.98,636.76,649.31,139.1,0.59,0.74,6.07,Seed Sowing
2025-04-13 00:05:00,82.35,21.92,22.71,623.13,621.0,139.83,0.63,0.45,5.93,Seed Sowing
2025-04-13 00:10:00,82.03,24.67,23.27,632.77,644.9,160.47,0.44,0.2,6.23,Seed Sowing
2025-04-13 00:15:00,86.85,24.35,24.01,639.72,487.2,141.69,0.1,0.21,5.61,Seed Sowing
2025-04-13 00:20:00,80.52,24.43,23.38,637.23,409.54,202.63,0.6,0.81,6.53,Seed Sowing
2025-04-13 00:25:00,81.4,23.47,23.3,624.0,433.98,222.61,0.72,0.83,7.06,Seed Sowing
2025-04-13 00:30:00,84.09,23.82,23.27,629.37,567.15,212.1,0.71,0.64,6.32,Seed Sowing
2025-04-13 00:35:00,79.94,22.76,22.45,641.41,655.32,68.14,0.65,0.47,6.58,Seed Sowing
2025-04-13 00:40:00,82.48,23.45,23.58,637.95,809.99,141.5,0.77,0.82,6.57,Seed Sowing
2025-04-13 00:45:00,83.71,24.39,22.3,625.19,300.07,216.08,0.2,0.3,5.86,Seed Sowing
2025-04-13 00:50:00,82.72,22.75,23.02,641.51,761.36,171.55,0.22,0.24,6.39,Seed Sowing
2025-04-13 00:55:00,80.68,24.12,22.38,628.73,577.21,143.05,0.37,0.65,7.38,Seed Sowing
2025-04-13 01:00:00,80.24,25.23,22.86,627.95,693.1,140.92,0.16,0.48,5.62,Seed Sowing
2025-04-13 01:05:00,82.02,24.7,22.29,630.29,762.98,234.76,0.63,0.51,5.84,Seed Sowing
2025-04-13 01:10:00,80.21,24.83,22.85,633.13,453.19,152.68,0.86,0.65,5.56,Seed Sowing
2025-04-13 01:15:00,81.22,24.88,23.64,633.19,751.88,138.09,0.38,0.43,5.83,Seed Sowing
2025-04-13 01:20:00,79.88,24.4,22.96,626.88,635.33,169.21,0.49,0.4,6.41,Seed Sowing
2025-04-13 01:25:00,82.24,24.36,22.84,627.9,279.15,130.13,0.82,0.58,7.4,Seed Sowing
2025-04-13 01:30:00,84.15,24.69,22.75,633.26,511.32,249.22,0.73,0.86,7.23,Seed Sowing
2025-04-13 01:35:00,82.63,22.61,23.73,629.96,496.43,208.81,0.33,0.91,6.02,Seed Sowing
2025-04-13 01:40:00,82.43,24.57,23.77,626.26,410.91,131.84,0.26,0.73,6.77,Seed Sowing
2025-04-13 01:45:00,82.67,22.18,23.75,624.25,549.34,265.17,0.58,0.53,6.64,Seed Sowing
2025-04-13 01:50:00,82.38,23.84,24.0,626.34,725.48,194.74,0.35,0.25,6.27,Seed Sowing
2025-04-13 01:55:00,83.96,21.56,22.61,626.73,578.8,196.91,0.25,0.78,6.99,Seed Sowing
2025-04-13 02:00:00,82.1,24.68,23.02,660.97,713.93,241.38,0.44,0.65,6.27,Seed Sowing
2025-04-13 02:05:00,83.84,24.2,23.85,632.53,549.6,134.87,0.72,0.45,5.84,Seed Sowing
2025-04-13 02:10:00,83.34,23.61,24.04,632.68,806.96,224.69,0.49,0.17,6.68,Seed Sowing
2025-04-13 02:15:00,82.18,23.41,23.79,635.67,634.38,189.98,0.34,0.72,5.82,Seed Sowing
2025-04-13 02:20:00,81.38,24.84,23.41,636.4,721.32,113.38,0.44,0.25,6.93,Seed Sowing
