sensor,wavelet,level,threshold_mode,MSE,RMSE,SNR_dB,SSIM
humidity,db8,5,soft,19.532621497178717,4.419572546884904,23.2378126389763,0.27485130426243826
temp_envi,db4,3,hard,1.895069513109759,1.3766152378605139,26.503337041366404,0.3287376069993728
temp_water,db4,3,hard,1.125589959045642,1.0609382446898792,28.145862001164,0.31068933703790974
tds,db4,4,soft,162.53389263891668,12.748878093342828,33.88289642612309,0.6061618151407322
ec,db4,4,soft,0.00042115003230641375,0.020521940266612554,33.624251151354244,0.5891164877833137
lux,db4,4,soft,1308285.677663554,1143.8031638632383,18.492223097002725,0.6036616209662832
ppfd,db4,4,soft,3081.8887746520672,55.51476177245172,16.511596101255027,0.22153811661460474
reflect_445,sym8,6,garrote,0.0018497556244987741,0.043008785433894484,13.213432391158468,0.8936727142807103
reflect_480,sym8,6,garrote,0.0015854275240074374,0.03981742739062178,12.609961680200982,0.9052329609430937
ph,db4,4,soft,0.013591358400881094,0.11658198145889052,34.51902402136524,0.2112634481143385
